controller_family,yaw_mode,episodes,survival_rate,crash_rate,tracking_rmse_mean_m,tracking_mae_mean_m,tracking_p95_mean_m,tracking_peak_max_m,tracking_x_mae_mean_m,tracking_y_mae_mean_m,heading_err_mae_mean_deg,heading_err_max_max_deg,control_energy_mean,worst_pitch_deg,worst_roll_deg,worst_base_x_m,worst_base_y_m,trajectory_score
baseline_mpc,bearing_pd,1,1.0,0.0,0.037370277439538295,0.01891211386816909,0.09461126108768349,0.1099940285955839,0.018820599691369833,0.0004536453711502309,0.0,0.0,0.0028776569230260177,3.5390123961329945,1.2815686911048505,0.00013802299727996883,0.0012468294381600723,77.41250340160055
baseline_mpc,off,1,1.0,0.0,0.03737026865612941,0.018910094188871556,0.09461701118978577,0.10999069506489893,0.018819595793477074,0.00045486832782168135,nan,nan,0.00238269898999403,3.5390123961374194,1.2815687069720663,0.00012871080186137142,0.0012589077016542654,77.41223874479682
hybrid_modern,off,1,1.0,0.0,0.07037566413382783,0.057986564905610834,0.14123409993691882,0.1596131844636431,0.020088685376707525,0.051658169370050466,nan,nan,1810.028532683382,2.510688096852929,1.2868110745158865,0.006264766445476377,0.11453317082049107,26.8318168137598
baseline_robust_hinf_like,off,1,1.0,0.0,0.08334876454734295,0.06784804762517355,0.16806210364004928,0.18656459020689556,0.020036467513017756,0.06270343129824896,nan,nan,1773.8976312013788,2.510688096852929,1.2868630435290407,0.005512498164889181,0.14926484331841836,20.812323132026933
current,off,1,1.0,0.0,0.08341467078240039,0.06759150004726447,0.1685094904141572,0.1890513553329282,0.020522442770379346,0.06243843687586384,nan,nan,1897.2246788902519,2.510688096852929,1.2872069003472193,0.007984941974408256,0.15253103860896175,18.157401657975242
current_dob,off,1,1.0,0.0,0.085272705394317,0.06872107552672564,0.17433788266533445,0.19255268920952237,0.02027307603870674,0.06375717754191236,nan,nan,1873.4596466094795,2.510688096852929,1.286893044519468,0.00743268323268796,0.15636603314984845,17.527929253423842
hybrid_modern,bearing_pd,1,1.0,0.0,0.06952544024089427,0.06015910091284936,0.12549317593183137,0.13984455879125424,0.01990839590483849,0.05301420683500338,104.25238674528842,179.66444143177785,1810.269608663205,2.510688096852929,1.286812173840198,0.0060083734619709814,0.08483990299093713,-54.02431203537495
baseline_robust_hinf_like,bearing_pd,1,1.0,0.0,0.08118162569079783,0.06997509126801157,0.1440798031451951,0.15545351661516948,0.019792974182009548,0.064039224626006,102.6547655747573,179.72837665974419,1773.8945526206267,2.510688096852929,1.2868659893531265,0.0059469399279825155,0.10787249699511416,-57.16162134345979
current_dob,bearing_pd,1,1.0,0.0,0.08089788283480723,0.0693439226969337,0.14483486654266695,0.15726206451306082,0.019995038698442005,0.06342288364313409,100.49180580472019,179.5706225089971,1873.351351660713,2.510688096852929,1.2868945679845978,0.007022598662892448,0.11000857926883277,-57.51216642897584
current,bearing_pd,1,1.0,0.0,0.0821709987986524,0.0708994831261773,0.1440262157682341,0.15697160832816456,0.020306665184363346,0.06499446222776308,104.33888189615118,179.88546934605253,1897.2913850159196,2.510688096852929,1.2872105740113349,0.008081351808511245,0.11038475304662174,-61.29350864842369
paper_split_baseline,off,1,1.0,0.0,0.23790476602362273,0.2067058942948432,0.41454219331671727,0.4545548883166207,0.019545129898845524,0.2048271780402718,nan,nan,4926.536078454104,2.510688096852929,1.2960111635673413,0.002562141795230427,0.4409106106740621,-113.79175973750307
paper_split_baseline,bearing_pd,1,1.0,0.0,0.21238072491346427,0.19116166252052522,0.3094670128789058,0.3188562782847914,0.019464654715102742,0.18876618751516003,128.8283036418049,179.6422399245118,4537.262942083596,2.510688096852929,1.2948799877211499,0.0031223966719430706,0.30001416460455466,-187.07373207032327
